level,page_num,block_num,par_num,line_num,word_num,left,top,width,height,conf,text
5,1,2,1,1,1,265,278,40,30,48,B.
5,1,2,2,1,1,270,586,700,43,36,"Kallita, Neusfsorge oder Stahlhammer"
5,1,2,3,1,1,275,675,176,44,92,Kalkau
5,1,2,6,1,1,270,1078,405,39,59,ce) Kirhen:Antheil
5,1,2,7,1,1,267,1167,311,39,95,"Zusammen: 84 H,"
5,1,2,8,1,1,278,1787,224,46,86,Kalkberg
5,1,2,9,1,1,274,1832,247,43,84,Kalkbruch
5,1,6,2,1,1,1331,669,266,46,88,Kallendorf
5,1,6,3,1,1,1334,1202,423,57,39,SKalligel- Vorwerk
5,1,6,4,1,1,1331,1296,240,44,87,Kallina
5,1,6,6,1,1,1332,1922,181,36,41,Kallnauu
5,1,6,7,1,1,1332,1965,362,42,0,Katy ist Podewils
5,1,6,8,1,1,1334,2008,183,44,92,Kalmke
5,1,6,9,1,1,1331,2098,287,44,83,Kalowiee
5,1,6,10,1,1,1332,2186,232,46,90,Kaltasche
5,1,6,11,1,1,1332,2275,220,45,91,Kaltdorf
5,1,6,12,1,1,1332,2635,365,43,27,Gicmelkrets<am
5,1,6,13,1,1,1330,2723,263,37,96,Kalte Berg
5,1,6,14,1,1,1331,2857,359,47,66,Saltebortichen
